customer_id,gender,age,payment_method,age_group
C241288,Female,28.0,Credit Card,26-35
C111565,Male,21.0,Debit Card,18-25
C266599,Male,20.0,Cash,18-25
C988172,Female,66.0,Credit Card,65+
C189076,Female,53.0,Cash,51-65
C657758,Female,28.0,Credit Card,26-35
C151197,Female,49.0,Cash,36-50
C176086,Female,32.0,Credit Card,26-35
C159642,Male,69.0,Credit Card,65+
C283361,Female,60.0,Credit Card,51-65
C240286,Female,36.0,Cash,36-50
C191708,Female,29.0,Credit Card,26-35
C225330,Female,67.0,Debit Card,65+
C312861,Male,25.0,Cash,18-25
C555402,Female,67.0,Credit Card,65+
C362288,Male,24.0,Credit Card,18-25
C300786,Male,65.0,Debit Card,51-65
C330667,Female,42.0,Credit Card,36-50
C218149,Female,46.0,Cash,36-50
C196845,Male,24.0,Cash,18-25
C220180,Male,23.0,Credit Card,18-25
C125696,Female,27.0,Cash,26-35
C322947,Male,52.0,Credit Card,51-65
C313348,Male,44.0,Cash,36-50
C204553,Female,42.0,Cash,36-50
C285161,Male,51.0,Debit Card,51-65
C289625,Female,25.0,Credit Card,18-25
C192344,Male,50.0,Cash,36-50
C447138,Female,65.0,Cash,51-65
C251229,Male,29.0,Credit Card,26-35
C159164,Female,66.0,Debit Card,65+
C501658,Male,23.0,Credit Card,18-25
C176727,Female,32.0,Credit Card,26-35
C232624,Male,51.0,Debit Card,51-65
C164092,Female,66.0,Credit Card,65+
C276887,Male,68.0,Credit Card,65+
C245456,Male,43.0,Credit Card,36-50
C450287,Female,59.0,Credit Card,51-65
C204279,Male,54.0,Cash,51-65
C452806,Male,24.0,Cash,18-25
C716788,Female,49.0,Cash,36-50
C155059,Male,67.0,Credit Card,65+
C306662,Female,48.0,Cash,36-50
C607615,Female,40.0,Cash,36-50
C120164,Female,41.0,Credit Card,36-50
C134449,Male,46.0,Credit Card,36-50
C317818,Female,19.0,Credit Card,18-25
C241642,Female,43.0,Debit Card,36-50
C126436,Male,18.0,Debit Card,18-25
C653385,Female,22.0,Debit Card,18-25
C227070,Female,61.0,Cash,51-65
C317478,Female,41.0,Cash,36-50
C237330,Female,53.0,Credit Card,51-65
C626042,Female,43.0,Cash,36-50
C133687,Female,45.0,Debit Card,36-50
C841663,Female,29.0,Cash,26-35
C213742,Male,43.0,Cash,36-50
C962515,Female,19.0,Credit Card,18-25
C112279,Female,67.0,Cash,65+
C158837,Female,36.0,Cash,36-50
C336576,Male,64.0,Credit Card,51-65
C716161,Female,33.0,Debit Card,26-35
C439382,Female,33.0,Credit Card,26-35
C123427,Male,66.0,Cash,65+
C224743,Female,29.0,Debit Card,26-35
C119549,Male,22.0,Cash,18-25
C187266,Female,63.0,Cash,51-65
C173084,Female,24.0,Debit Card,18-25
C126956,Female,24.0,Cash,18-25
C236859,Female,44.0,Credit Card,36-50
C309926,Male,34.0,Cash,26-35
C493252,Female,47.0,Cash,36-50
C109871,Male,38.0,Cash,36-50
C136117,Female,57.0,Debit Card,51-65
C258404,Male,67.0,Cash,65+
C169749,Male,41.0,Credit Card,36-50
C199947,Female,40.0,Debit Card,36-50
C135790,Female,69.0,Cash,65+
C606418,Female,47.0,Cash,36-50
C111611,Female,53.0,Credit Card,51-65
C679476,Male,40.0,Cash,36-50
C542025,Male,60.0,Credit Card,51-65
C168491,Male,30.0,Cash,26-35
C169650,Female,66.0,Credit Card,65+
C158160,Male,22.0,Cash,18-25
C552345,Male,53.0,Cash,51-65
C218383,Female,52.0,Cash,51-65
C309438,Male,26.0,Cash,26-35
C253905,Male,66.0,Cash,65+
C992677,Male,65.0,Debit Card,51-65
C584700,Female,43.0,Cash,36-50
C183011,Male,62.0,Credit Card,51-65
C567813,Male,39.0,Cash,36-50
C282974,Female,33.0,Cash,26-35
C181972,Female,26.0,Debit Card,26-35
C189493,Male,43.0,Credit Card,36-50
C242748,Female,40.0,Debit Card,36-50
C324683,Male,55.0,Credit Card,51-65
C307921,Female,24.0,Credit Card,18-25
C152549,Male,24.0,Cash,18-25
C111832,Female,30.0,Credit Card,26-35
C204174,Male,34.0,Credit Card,26-35
C279370,Female,64.0,Cash,51-65
C907582,Female,57.0,Cash,51-65
C166635,Male,18.0,Credit Card,18-25
C276043,Female,26.0,Cash,26-35
C282643,Female,19.0,Debit Card,18-25
C820515,Female,22.0,Cash,18-25
C331761,Male,48.0,Cash,36-50
C326893,Female,56.0,Cash,51-65
C306395,Male,35.0,Cash,26-35
C885344,Female,60.0,Debit Card,51-65
C112750,Female,32.0,Credit Card,26-35
C274870,Male,27.0,Credit Card,26-35
C199864,Female,56.0,Credit Card,51-65
C997380,Male,35.0,Debit Card,26-35
C132002,Female,68.0,Credit Card,65+
C255058,Female,64.0,Cash,51-65
C271799,Female,60.0,Cash,51-65
C765620,Male,64.0,Debit Card,51-65
C891545,Female,41.0,Debit Card,36-50
C519513,Male,30.0,Cash,26-35
C125624,Male,40.0,Debit Card,36-50
C658980,Female,29.0,Cash,26-35
C319231,Male,25.0,Cash,18-25
C150594,Female,60.0,Cash,51-65
C846730,Female,42.0,Cash,36-50
C249877,Male,54.0,Cash,51-65
C200826,Female,50.0,Cash,36-50
C263874,Male,54.0,Debit Card,51-65
C663463,Female,45.0,Cash,36-50
C134370,Female,40.0,Credit Card,36-50
C310642,Male,24.0,Credit Card,18-25
C651699,Male,40.0,Cash,36-50
C989693,Female,32.0,Credit Card,26-35
C123581,Female,28.0,Cash,26-35
C192446,Female,22.0,Cash,18-25
C143343,Female,21.0,Credit Card,18-25
C223343,Female,31.0,Credit Card,26-35
C309082,Female,61.0,Credit Card,51-65
C236365,Female,67.0,Cash,65+
C178734,Male,52.0,Cash,51-65
C223010,Male,44.0,Credit Card,36-50
C289933,Female,48.0,Credit Card,36-50
C340116,Female,53.0,Cash,51-65
C816586,Male,27.0,Cash,26-35
C434171,Female,28.0,Cash,26-35
C215384,Female,43.0,Credit Card,36-50
C143442,Male,54.0,Credit Card,51-65
C102926,Male,41.0,Credit Card,36-50
C340063,Female,59.0,Cash,51-65
C131786,Female,32.0,Credit Card,26-35
C194380,Female,41.0,Credit Card,36-50
C269623,Female,30.0,Debit Card,26-35
C847171,Male,22.0,Debit Card,18-25
C556552,Female,51.0,Cash,51-65
C876528,Female,23.0,Credit Card,18-25
C303493,Male,40.0,Cash,36-50
C978718,Male,37.0,Cash,36-50
C111766,Female,24.0,Cash,18-25
C175946,Male,22.0,Credit Card,18-25
C160005,Female,61.0,Cash,51-65
C599109,Female,25.0,Credit Card,18-25
C693789,Female,66.0,Credit Card,65+
C259342,Female,59.0,Cash,51-65
C208108,Male,38.0,Cash,36-50
C244213,Male,34.0,Debit Card,26-35
C102685,Female,26.0,Cash,26-35
C244291,Female,59.0,Cash,51-65
C162371,Female,53.0,Debit Card,51-65
C375422,Male,23.0,Debit Card,18-25
C911768,Female,23.0,Credit Card,18-25
C270129,Female,66.0,Debit Card,65+
C617189,Female,56.0,Cash,51-65
C271029,Female,38.0,Credit Card,36-50
C292356,Male,28.0,Cash,26-35
C329633,Female,44.0,Cash,36-50
C244780,Female,26.0,Cash,26-35
C139568,Female,41.0,Credit Card,36-50
C220281,Male,50.0,Cash,36-50
C311034,Female,23.0,Cash,18-25
C584141,Female,31.0,Cash,26-35
C221934,Male,26.0,Credit Card,26-35
C513561,Female,56.0,Cash,51-65
C257990,Female,34.0,Cash,26-35
C168348,Female,29.0,Cash,26-35
C161285,Female,20.0,Credit Card,18-25
C166191,Female,54.0,Credit Card,51-65
C172966,Male,40.0,Debit Card,36-50
C320928,Male,40.0,Cash,36-50
C131497,Male,21.0,Cash,18-25
C526660,Female,32.0,Cash,26-35
C266961,Male,47.0,Credit Card,36-50
C204741,Female,41.0,Cash,36-50
C181619,Male,33.0,Cash,26-35
C250395,Female,67.0,Credit Card,65+
C322994,Male,37.0,Cash,36-50
C250673,Female,38.0,Cash,36-50
C192978,Male,28.0,Credit Card,26-35
C163033,Female,38.0,Credit Card,36-50
C558480,Female,56.0,Credit Card,51-65
C287409,Male,25.0,Debit Card,18-25
C993675,Male,66.0,Cash,65+
C307535,Female,37.0,Credit Card,36-50
C238961,Female,19.0,Cash,18-25
C671866,Female,53.0,Cash,51-65
C171154,Female,69.0,Cash,65+
C848969,Male,69.0,Cash,65+
C240171,Female,31.0,Debit Card,26-35
C665777,Male,39.0,Cash,36-50
C256730,Male,53.0,Cash,51-65
C298229,Male,26.0,Cash,26-35
C183404,Male,63.0,Cash,51-65
C316398,Female,34.0,Cash,26-35
C557245,Male,25.0,Debit Card,18-25
C662958,Female,20.0,Cash,18-25
C545065,Female,18.0,Debit Card,18-25
C284679,Male,53.0,Credit Card,51-65
C581947,Male,46.0,Cash,36-50
C199311,Female,34.0,Credit Card,26-35
C206501,Female,61.0,Cash,51-65
C726021,Female,38.0,Credit Card,36-50
C448846,Female,67.0,Cash,65+
C168663,Male,33.0,Credit Card,26-35
C616106,Female,63.0,Debit Card,51-65
C771066,Female,21.0,Debit Card,18-25
C101196,Female,41.0,Debit Card,36-50
C898405,Female,48.0,Credit Card,36-50
C372643,Male,27.0,Debit Card,26-35
C195626,Female,22.0,Credit Card,18-25
C622748,Female,54.0,Credit Card,51-65
C290280,Female,51.0,Cash,51-65
C281268,Female,29.0,Debit Card,26-35
C826744,Female,44.0,Credit Card,36-50
C252021,Female,20.0,Credit Card,18-25
C647656,Female,59.0,Cash,51-65
C250065,Female,23.0,Credit Card,18-25
C230766,Female,25.0,Credit Card,18-25
C243515,Male,63.0,Cash,51-65
C204632,Male,21.0,Debit Card,18-25
C252598,Female,56.0,Credit Card,51-65
C866033,Male,39.0,Credit Card,36-50
